RPM,Power,Air,Engine ,Torque,Torque Normalized,Torque Polynominal,,,,,,
,,,,,,,,,,Peak=,3.21227795,dat is 3500Nm
870,-2.534807,0.12854877,2.66335577,2901.911148,0.829117471,0.845006152,,,,F=,1089.569475,
880,-2.561246,0.12921176,2.69045776,2931.440649,0.837554471,0.851388998,,,,Readout=,1,
890,-2.596929,0.12987887,2.72680787,2971.04662,0.848870463,0.857621607,,,,,,
900,-2.625212,0.1305501,2.7557621,3002.594265,0.857884076,0.8637048,,,,,,
910,-2.645259,0.13122545,2.77648445,3025.172705,0.864335059,0.869639401,,,,,,
920,-2.671851,0.13190492,2.80375592,3054.886866,0.872824819,0.875426234,,,,,,
930,-2.691627,0.13258851,2.82421551,3077.179011,0.879194003,0.88106612,,,,,,
940,-2.712305,0.13327622,2.84558122,3100.458436,0.885845268,0.886559885,,,,,,
950,-2.734896,0.13396805,2.86886405,3125.826697,0.893093342,0.89190835,,,,,,
960,-2.75317,0.134664,2.887834,3146.495776,0.898998793,0.897112339,,,,,,
970,-2.769156,0.13536407,2.90452007,3164.676408,0.904193259,0.902172676,,,,,,
980,-2.793452,0.13606826,2.92952026,3191.915852,0.911975958,0.907090182,,,,,,
990,-2.811268,0.13677657,2.94804457,3212.099375,0.917742679,0.911865683,,,,,,
1000,-2.82917,0.137489,2.966659,3232.38109,0.923537454,0.9165,,,,,,
1010,-2.84295,0.13820555,2.98115555,3248.176088,0.928050311,0.920993957,,,,,,
1020,-2.855906,0.13892622,2.99483222,3263.07777,0.932307934,0.925348378,,,,,,
1030,-2.868761,0.13965101,3.00841201,3277.873895,0.936535399,0.929564084,,,,,,
1040,-2.878275,0.14037992,3.01865492,3289.034257,0.939724073,0.933641901,,,,,,
1050,-2.885683,0.14111295,3.02679595,3297.904475,0.942258421,0.93758265,,,,,,
1060,-2.892833,0.1418501,3.0346831,3306.498072,0.944713735,0.941387155,,,,,,
1070,-2.904261,0.14259137,3.04685237,3319.757338,0.948502096,0.94505624,,,,,,
1080,-2.916687,0.14333676,3.06002376,3334.108482,0.952602423,0.948590726,,,,,,
1090,-2.921324,0.14408627,3.06541027,3339.977459,0.954279274,0.951991439,,,,,,
1100,-2.928591,0.1448399,3.0734309,3348.716493,0.956776141,0.9552592,,,,,,
1110,-2.935698,0.14559765,3.08129565,3357.285684,0.959224481,0.958394833,,,,,,
1120,-2.944954,0.14635952,3.09131352,3368.200849,0.9623431,0.961399162,,,,,,
1130,-2.954383,0.14712551,3.10150851,3379.308999,0.965516857,0.964273008,,,,,,
1140,-2.960399,0.14789562,3.10829462,3386.702938,0.967629411,0.967017197,,,,,,
1160,-2.970973,0.1494482,3.1204212,3399.915689,0.971404483,0.972119891,,,,,,
1170,-2.977574,0.15023067,3.12780467,3407.960493,0.973702998,0.974480044,,,,,,
1180,-2.983522,0.15101726,3.13453926,3415.298296,0.975799513,0.97671383,,,,,,
1190,-2.989693,0.15180797,3.14150097,3422.883563,0.977966732,0.978822075,,,,,,
1200,-2.994056,0.1526028,3.1466588,3428.503377,0.979572393,0.9808056,,,,,,
1210,-2.998276,0.15340175,3.15167775,3433.971872,0.981134821,0.982665229,,,,,,
1220,-3.004381,0.15420482,3.15858582,3441.498694,0.983285341,0.984401786,,,,,,
1230,-3.010113,0.15501201,3.16512501,3448.623596,0.985321027,0.986016092,,,,,,
1240,-3.012528,0.15582332,3.16835132,3452.138885,0.986325396,0.987508973,,,,,,
1250,-3.017123,0.15663875,3.17376175,3458.033924,0.988009693,0.98888125,,,,,,
1260,-3.020354,0.1574583,3.1778123,3462.44728,0.989270651,0.990133747,,,,,,
1270,-3.024368,0.15828197,3.18264997,3467.718257,0.990776645,0.991267288,,,,,,
1280,-3.02716,0.15910976,3.18626976,3471.66227,0.991903506,0.992282694,,,,,,
1290,-3.029741,0.15994167,3.18968267,3475.380873,0.992965964,0.993180791,,,,,,
1300,-3.032825,0.1607777,3.1936027,3479.652018,0.994186291,0.9939624,,,,,,
1310,-3.034879,0.16161785,3.19649685,3482.805395,0.995087256,0.994628345,,,,,,
1320,-3.037821,0.16246212,3.20028312,3486.930799,0.996265943,0.99517945,,,,,,
1340,-3.04055,0.16416302,3.20471302,3491.757483,0.997644995,0.995940429,,,,,,
1350,-3.041869,0.16501965,3.20688865,3494.127983,0.998322281,0.99615195,,,,,,
1360,-3.042845,0.1658804,3.2087254,3496.12925,0.998894071,0.996251923,,,,,,
1370,-3.043371,0.16674527,3.21011627,3497.644699,0.999327057,0.996241172,,,,,,
1380,-3.043451,0.16761426,3.21106526,3498.67869,0.999622483,0.996120518,,,,,,
1390,-3.043234,0.16848737,3.21172137,3499.393567,0.999826734,0.995890787,,,,,,
1400,-3.042541,0.1693646,3.2119056,3499.594299,0.999884085,0.9955528,,,,,,
1410,-3.042032,0.17024595,3.21227795,3500,1,0.995107381,,,,,,
1420,-3.040227,0.17113142,3.21135842,3498.998108,0.999713745,0.994555354,,,,,,
1430,-3.038152,0.17202101,3.21017301,3497.706522,0.99934472,0.99389754,,,,,,
1440,-3.035429,0.17291472,3.20834372,3495.713383,0.998775252,0.993134765,,,,,,
1450,-3.031958,0.17381255,3.20577055,3492.909736,0.99797421,0.99226785,,,,,,
1460,-3.026775,0.1747145,3.2014895,3488.245234,0.996641495,0.991297619,,,,,,
1470,-3.022525,0.17562057,3.19814557,3484.60179,0.995600511,0.990224896,,,,,,
1490,-3.013372,0.17744507,3.19081707,3476.61688,0.993319109,0.987775263,,,,,,
1500,-3.006365,0.1783635,3.1847285,3469.98296,0.991423703,0.9864,,,,,,
1510,-2.998703,0.17928605,3.17798905,3462.639861,0.989325675,0.984925537,,,,,,
1520,-2.990454,0.18021272,3.17066672,3454.661674,0.987046193,0.983352698,,,,,,
1530,-2.981713,0.18114351,3.16285651,3446.151908,0.984614831,0.981682304,,,,,,
1540,-2.97483,0.18207842,3.15690842,3439.67105,0.982763157,0.979915181,,,,,,
1550,-2.962704,0.18301745,3.14572145,3427.482069,0.979280591,0.97805215,,,,,,
1560,-2.950126,0.1839606,3.1340866,3414.805092,0.975658598,0.976094035,,,,,,
1570,-2.942398,0.18490787,3.12730587,3407.417015,0.973547719,0.97404166,,,,,,
1580,-2.931792,0.18585926,3.11765126,3396.897647,0.970542185,0.971895846,,,,,,
1590,-2.923924,0.18681477,3.11073877,3389.366009,0.968390288,0.969657419,,,,,,
1600,-2.90903,0.1877744,3.0968044,3374.183545,0.964052441,0.9673272,,,,,,
1610,-2.896652,0.18873815,3.08539015,3361.746926,0.960499122,0.964906013,,,,,,
1620,-2.885173,0.18970602,3.07487902,3350.29432,0.957226949,0.962394682,,,,,,
1630,-2.876418,0.19067801,3.06709601,3341.81419,0.954804054,0.959794028,,,,,,
1640,-2.864238,0.19165412,3.05589212,3329.606773,0.951316221,0.957104877,,,,,,
1650,-2.852098,0.19263435,3.04473235,3317.447429,0.947842122,0.95432805,,,,,,
1660,-2.83983,0.1936187,3.0334487,3305.153108,0.944329459,0.951464371,,,,,,
1670,-2.827398,0.19460717,3.02200517,3292.684587,0.940767025,0.948514664,,,,,,
1680,-2.815118,0.19559976,3.01071776,3280.38617,0.937253191,0.94547975,,,,,,
1690,-2.802938,0.19659647,2.99953447,3268.201198,0.933771771,0.942360455,,,,,,
1700,-2.790707,0.1975973,2.9883043,3255.965148,0.930275756,0.9391576,,,,,,
1710,-2.77845,0.19860225,2.97705225,3243.705258,0.926772931,0.935872009,,,,,,
1720,-2.766178,0.19961132,2.96578932,3231.433513,0.923266718,0.932504506,,,,,,
1730,-2.75389,0.20062451,2.95451451,3219.148824,0.919756807,0.929055912,,,,,,
1740,-2.74157,0.20164182,2.94321182,3206.833758,0.916238217,0.925527053,,,,,,
1750,-2.729293,0.20266325,2.93195625,3194.570032,0.912734295,0.92191875,,,,,,
1760,-2.709633,0.2036888,2.9133218,3174.266505,0.906933287,0.918231827,,,,,,
1770,-2.698381,0.20471847,2.90309947,3163.128566,0.903751019,0.914467108,,,,,,
1780,-2.685975,0.20575226,2.89172726,3150.737753,0.900210787,0.910625414,,,,,,
1790,-2.673574,0.20679017,2.88036417,3138.356877,0.896673393,0.906707571,,,,,,
1800,-2.661174,0.2078322,2.8690062,3125.98158,0.893137594,0.9027144,,,,,,
1810,-2.648963,0.20887835,2.85784135,3113.8167,0.889661914,0.898646725,,,,,,
1820,-2.635458,0.20992862,2.84538662,3100.246406,0.885784687,0.89450537,,,,,,
1830,-2.622097,0.21098301,2.83308001,3086.8375,0.881953571,0.890291156,,,,,,
1840,-2.6089,0.21204152,2.82094152,3073.611771,0.878174792,0.886004909,,,,,,
1850,-2.595777,0.21310415,2.80888115,3060.47116,0.874420332,0.88164745,,,,,,
1860,-2.584224,0.2141709,2.7983949,3049.045662,0.871155904,0.877219603,,,,,,
1870,-2.572871,0.21524177,2.78811277,3037.842567,0.867955019,0.872722192,,,,,,
1880,-2.564256,0.21631676,2.78057276,3029.627203,0.865607772,0.868156038,,,,,,
1890,-2.548446,0.21739587,2.76584187,3013.576875,0.861021964,0.863521967,,,,,,
1900,-2.532824,0.2184791,2.7513031,2997.735875,0.856495964,0.8588208,,,,,,
1910,-2.521382,0.21956645,2.74094845,2986.453764,0.853272504,0.854053361,,,,,,
1920,-2.510115,0.22065792,2.73077292,2975.366817,0.850104805,0.849220474,,,,,,
1930,-2.49515,0.22175351,2.71690351,2960.255131,0.84578718,0.84432296,,,,,,
1940,-2.481229,0.22285322,2.70408222,2946.285445,0.841795841,0.839361645,,,,,,
1950,-2.46449,0.22395705,2.68844705,2929.249841,0.836928526,0.83433735,,,,,,
1960,-2.45044,0.225065,2.675505,2915.148579,0.832899594,0.829250899,,,,,,
1970,-2.440706,0.22617707,2.66688307,2905.754387,0.830215539,0.824103116,,,,,,
1980,-2.422,0.22729326,2.64929326,2886.589067,0.824739733,0.818894822,,,,,,
1990,-2.406419,0.22841357,2.63483257,2870.83314,0.82023804,0.813626843,,,,,,
2000,-2.385315,0.229538,2.614853,2849.064011,0.814018289,0.8083,,,,,,
2010,-2.369573,0.23066655,2.60023955,2833.141642,0.80946904,0.802915117,,,,,,
2020,-2.352684,0.23179922,2.58448322,2815.974026,0.804564007,0.797473018,,,,,,
2030,-2.338862,0.23293601,2.57179801,2802.152608,0.800615031,0.791974524,,,,,,
2040,-2.319223,0.23407692,2.55329992,2781.997654,0.794856472,0.786420461,,,,,,
2050,-2.294268,0.23522195,2.52948995,2756.055037,0.787444296,0.78081165,,,,,,
2060,-2.276323,0.2363711,2.5126941,2737.754792,0.782215655,0.775148915,,,,,,
2070,-2.257311,0.23752437,2.49483537,2718.296465,0.776656133,0.76943308,,,,,,
2080,-2.236425,0.23868176,2.47510676,2696.800773,0.770514507,0.763664966,,,,,,
2090,-2.219421,0.23984327,2.45926427,2679.53928,0.765582651,0.757845399,,,,,,
2100,-2.198747,0.2410089,2.4397559,2658.283555,0.759509587,0.7519752,,,,,,
2110,-2.179992,0.24217865,2.42217065,2639.123204,0.754035201,0.746055193,,,,,,
2120,-2.159378,0.24335252,2.40273052,2617.941832,0.74798338,0.740086202,,,,,,
2130,-2.136763,0.24453051,2.38129351,2594.58472,0.74130992,0.734069048,,,,,,
2140,-2.115703,0.24571262,2.36141562,2572.926378,0.735121822,0.728004557,,,,,,
2150,-2.092053,0.24689885,2.33895185,2548.45054,0.728128726,0.72189355,,,,,,
2160,-2.064675,0.2480892,2.3127642,2519.917276,0.719976364,0.715736851,,,,,,
2170,-2.043354,0.24928367,2.29263767,2497.988023,0.713710864,0.709535284,,,,,,
2180,-2.021323,0.25048226,2.27180526,2475.289665,0.707225619,0.70328967,,,,,,
2190,-2.0001,0.25168497,2.25178497,2453.476168,0.700993191,0.697000835,,,,,,
2200,-1.976366,0.2528918,2.2292578,2428.931251,0.693980357,0.6906696,,,,,,
2210,-1.949314,0.25410275,2.20341675,2400.775632,0.685935895,0.684296789,,,,,,
2220,-1.928125,0.25531782,2.18344282,2379.012647,0.679717899,0.677883226,,,,,,
2230,-1.906746,0.25653701,2.16328301,2357.047134,0.673442038,0.671429732,,,,,,
2240,-1.886967,0.25776032,2.14472732,2336.82942,0.667665549,0.664937133,,,,,,
2250,-1.86665,0.25898775,2.12563775,2316.030008,0.661722859,0.65840625,,,,,,
2260,-1.834345,0.2602193,2.0945643,2282.173325,0.652049521,0.651837907,,,,,,
2270,-1.811296,0.26145497,2.07275097,2258.406186,0.64525891,0.645232928,,,,,,
2280,-1.788598,0.26269476,2.05129276,2235.025976,0.63857885,0.638592134,,,,,,
2290,-1.763898,0.26393867,2.02783667,2209.468936,0.631276839,0.631916351,,,,,,
2300,-1.742073,0.2651867,2.0072597,2187.048898,0.624871114,0.6252064,,,,,,
2310,-1.711916,0.26643885,1.97835485,2155.555056,0.615872873,0.618463105,,,,,,
2320,-1.689895,0.26769512,1.95759012,2132.93044,0.609408697,0.61168729,,,,,,
2330,-1.657549,0.26895551,1.92650451,2099.060508,0.599731574,0.604879776,,,,,,
2340,-1.636143,0.27022002,1.90636302,2077.114955,0.593461416,0.598041389,,,,,,
2350,-1.613397,0.27148865,1.88488565,2053.713868,0.586775391,0.59117295,,,,,,
2360,-1.587051,0.2727614,1.8598124,2026.394821,0.578969949,0.584275283,,,,,,
2370,-1.555378,0.27403827,1.82941627,1993.276125,0.569507464,0.577349212,,,,,,
2380,-1.536704,0.27531926,1.81202326,1974.325232,0.564092924,0.570395558,,,,,,
2390,-1.508274,0.27660437,1.78487837,1944.748989,0.555642568,0.563415147,,,,,,
2400,-1.483045,0.2778936,1.7609386,1918.664946,0.548189985,0.5564088,,,,,,
2410,-1.454933,0.27918695,1.73411995,1889.444164,0.53984119,0.549377341,,,,,,
2420,-1.43871,0.28048442,1.71919442,1873.181762,0.535194789,0.542321594,,,,,,
2430,-1.428564,0.28178601,1.71035001,1863.545163,0.532441475,0.53524238,,,,,,
2440,-1.415798,0.28309172,1.69888972,1851.058381,0.528873823,0.528140525,,,,,,
2450,-1.397378,0.28440155,1.68177955,1832.415662,0.523547332,0.52101685,,,,,,
2460,-1.373476,0.2857155,1.6591915,1807.804412,0.516515546,0.513872179,,,,,,
2470,-1.33128,0.28703357,1.61831357,1763.265067,0.503790019,0.506707336,,,,,,
